id,inv,pcode,date,catalog,qty,custnum,source
1,2513000,GD3200,2000-12-17,Gardening,3,"Rifkin, Mr. Bob",Web
2,2513000,PT1400,2001-01-06,Pets,1,"Rifkin, Mr. Bob",Web
3,2513000,PT2000,2001-01-06,Pets,1,"Rifkin, Mr. Bob",Web
4,2513000,PT2100,2001-01-06,Pets,1,"Rifkin, Mr. Bob",Web
5,2513000,PT2000,2000-07-27,Pets,4,"Rifkin, Mr. Bob",Web
6,2513000,TY4300,2000-09-01,Toys,1,"Rifkin, Mr. B",Web
7,2638000,PT1200,2000-11-16,Pets,3,"Karl, Mr. Adrian",Web
8,2638000,PT1400,2001-01-25,Pets,1,"Karl, Mr. Adrian",Web
9,2638000,PT1400,2001-05-29,Pets,2,"Karl, Mr. Adrian",Web
10,2638000,SP2300,2001-07-02,Sports,1,"Karl, Mr. Adrian",Web
11,2638000,SP2600,2001-07-08,Sports,1,"Karl, Mr. Adrian",Web
12,2638000,SP3000,2000-08-27,Sports,1,"Karl, Mr. Adrian",Web
13,2638000,TY3500,2001-06-16,Toys,4,"Karl, Mr. Adrian",Web
14,2763000,GD2100,2000-08-02,Gardening,1,"Artis, Ms. Carol",Web
15,2763000,GD2400,2000-11-11,Gardening,4,"Artis, Ms. Carol",Web
16,2763000,SP2300,2001-02-07,Sports,2,"Artis, Ms. Carol",Web
17,2763000,SP2700,2001-02-07,Sports,3,"Artis, Ms. Carol",Web
18,2763000,SP3100,2001-01-12,Sports,1,"Artis, Ms. Carol",Web
19,2763000,TY1650,2001-02-03,Toys,1,"Artis, Ms. Carol",Web
20,2763000,TY4200,2001-01-03,Toys,2,"Artis, Ms. C.",Web
21,2888000,GD1001,2000-08-14,Gardening,1,"Montrose, Ms. Irene",Web
22,2888000,PT1200,2001-01-01,Pets,1,"Montrose, Ms. Irene",Web
23,2888000,PT1300,2000-10-11,Pets,1,"Montrose, Ms. Irene",Web
24,2888000,SP1400,2000-09-07,Sports,1,"Montrose, Ms. Irene",Web
25,2888000,SP2500,2001-04-07,Sports,1,"Montrose, Ms. Irene",Web
26,2888000,SP3000,2001-03-26,Sports,2,"Montrose, Ms. Irene",Web
27,2888000,TY1400,2001-01-30,Toys,1,"Montrose, Ms. Irene",Web
28,2888000,TY4600,2001-01-30,Toys,4,"Montrose, Ms. Irene",Web
29,2888000,TY5100,2001-01-30,Toys,1,"Montrose, Ms. Irene",Web
30,3013000,GD1500,2001-07-06,Gardening,1,"Hawks, Ms. Sue",Web
31,3013000,GD2300,2001-07-06,Gardening,4,"Hawks, Ms. Sue",Web
32,3013000,TY1700,2001-01-07,Toys,1,"Hawks, Ms. Sue",Web
33,3013000,TY1800,2000-09-21,Toys,1,"Hawks, Ms. Sue",Web
34,3013000,TY4100,2000-09-21,Toys,1,"Hawks, Ms. Sue",Web
35,3138000,GD1001,2000-11-13,Gardening,2,"Brahm, Mr. T. L.",Web
36,3184000,GD16OO,2000-11-14,Gardening,1,"Jones, Mr. T. J.",Web
37,3184000,GD2200,2000-11-14,Gardening,3,"Jones, Mr. T. J.",Web
