id,inv,pcode,date,catalog,qty,custnum,source
1,2513000,GD3200,2000-12-17,Gardening,3.0,"Rifkin, Mr. Bob",web
2,2513000,PT1400,2001-01-06,Pets,1.0,"Rifkin, Mr. Bob",web
3,2513000,PT2000,2001-01-06,Pet,1.0,"Rifkin, Mr. Bob",web
4,2513000,PT2100,2001-01-06,Pets,1.0,"Rifkin, Mr. Bob",web
5,2513000,PT2OOO,2000-07-27,Pets,4.0,"Rifkin, Mr. Bob",web
6,2513000,TY4300,2000-09-01,Tosy,1.0,"Rifkin, Mr. B",web
7,2638000,PT1200,2000-11-16,Pets,3.0,"Karl, Mr. Adrian",web
8,2638000,PT1400,2001-01-25,Pets,1.0,"Karl, Mr. Adrian",web
9,2638000,PT1400,2001-05-29,Pets,2.0,"Karl, Mr. Adrian",web
10,2638000,SP2300,2001-07-02,Sports,1.0,"Karl, Mr. Adrian",web
11,2638000,SP2600,2001-07-08,Sports,1.0,"Karl, Mr. Adrian",web
12,2638000,SP3000,2000-08-27,Sports,1.0,"Karl, Mr. Adrian",web
13,2638000,TY3500,2001-06-16,Toys,4.0,"Karl, Mr. Adrian",web
14,2763000,GD2100,2000-08-02,Gardening,1.0,"Artis, Ms. Carol",web
15,2763000,GD2400,2000-11-11,Gardening,4.0,"Artis, Ms. Carol",web
16,2763000,SP2300,2001-02-07,Sports,2.0,"Artis, Ms. Carol",web
17,2763000,SP2700,2001-02-07,Sports,3.0,"Artis, Ms. Carol",web
18,2763000,SP3100,2001-01-12,Sports,1.0,"Artis, Ms. Carol",web
19,2763000,TY1650,2001-02-03,Toys,1.0,"Artis, Ms. Carol",web
20,2763000,TY4200,2001-01-03,Toys,2.0,"Artis, Ms. C.",web
21,2888000,GD1001,2000-08-14,Gardening,1.0,"Montrose, Ms. Irene",web
22,2888000,PT1200,2001-01-01,Pets,1.0,"Montrose, Ms. Irene",web
23,2888000,PT1300,2000-10-11,Pets,1.0,"Montrose, Ms. Irene",web
24,2888000,SP1400,2000-09-07,Sports,1.0,"Montrose, Ms. Irene",web
25,2888000,SP2500,2001-04-07,Sports,1.0,"Montrose, Ms. Irene",web
26,2888000,SP3000,2001-03-26,Sports,2.0,"Montrose, Ms. Irene",web
